date,stock_type,close_percentage,open_percentage
2020-08-27,spx,1.0656036617446396,1.0249889262782055
2020-08-26,spx,0.8967988766646627,0.005505899061300826
2020-08-25,spx,-0.12152471670550614,-0.40089739077708125
2020-08-24,spx,-0.47943561321406036,-0.9186075963431489
2020-08-21,spx,-1.4690526921031593,-1.8485242244343165
2020-08-20,spx,-1.8069455036492112,-2.588572258803582
2020-08-19,spx,-2.116124719679541,-1.6601064138840942
2020-08-18,spx,-1.6830982075776983,-1.8186663990620437
2020-08-17,spx,-1.909039861268369,-1.997806274304599
2020-08-14,spx,-2.1741325555524873,-2.351457672622497
2020-08-13,spx,-2.1573150982528966,-2.2271007853407774
2020-08-12,spx,-1.956603171028938,-2.734089349418579
2020-08-11,spx,-3.3099305138069552,-2.3027538200005533
2020-08-10,spx,-2.533204741744045,-2.7172744186092594
2020-08-07,spx,-2.799749048131917,-3.1807819494831637
2020-08-06,spx,-2.8612407530538735,-3.6700921898397194
2020-08-05,spx,-3.4816314420597876,-3.8382131899685916
2020-08-04,spx,-4.098255020630594,-4.440281129224513
2020-08-03,spx,-4.443398811660765,-4.682038221554972
2020-07-31,spx,-5.124700560747134,-5.198304720940442
2020-07-30,spx,-5.846902365986108,-6.319823805568446
2020-07-29,spx,-5.492475338526564,-6.451427531717481
2020-07-28,spx,-6.652632055985492,-6.247065260260947
2020-07-27,spx,-6.044420746581808,-6.6653508181249395
2020-07-24,spx,-6.734134764835299,-6.701875169095856
2020-07-23,spx,-6.1531854388435825,-5.163811466409875
2020-07-22,spx,-4.982584195272277,-5.650213063431991
2020-07-21,spx,-5.525536689318897,-5.2542483354386205
2020-07-20,spx,-5.683896948286496,-6.536358501684926
2020-07-17,spx,-6.4701962791995316,-6.538679754759613
2020-07-16,spx,-6.73586961832515,-6.998125092752814
2020-07-15,spx,-6.417116843444696,-6.487371569419727
2020-07-14,spx,-7.259391753285422,-8.947524748060886
2020-07-13,spx,-8.48625889820517,-7.093204467930933
2020-07-10,spx,-7.621360082649836,-8.618232353045041
2020-07-09,spx,-8.578199052132701,-7.931233443821677
2020-07-08,spx,-8.059322075904443,-8.60083710896705
2020-07-07,spx,-8.773394853362394,-8.21327984637834
