Date,Close/Last,Volume,Open,High,Low
06/07/2021,1.4161,N/A,1.4178,1.4186,1.4159
06/06/2021,1.4144,N/A,1.4154,1.417,1.4139
06/04/2021,1.4156,N/A,1.4103,1.4201,1.4083
06/03/2021,1.4102,N/A,1.4103,1.4112,1.4095
06/02/2021,1.4169,N/A,1.4168,1.418,1.4165
06/01/2021,1.416,N/A,1.4146,1.4164,1.4145
05/31/2021,1.4238,N/A,1.4209,1.4247,1.4205
05/30/2021,1.4196,N/A,1.4187,1.4201,1.4173
05/28/2021,1.4191,N/A,1.4205,1.4212,1.4137
05/27/2021,1.4192,N/A,1.4205,1.4212,1.4183
05/26/2021,1.4114,N/A,1.4118,1.4126,1.4091
05/25/2021,1.416,N/A,1.4151,1.4163,1.4138
05/24/2021,1.4179,N/A,1.4155,1.4183,1.4151
05/23/2021,1.4144,N/A,1.4147,1.4163,1.4137
05/21/2021,1.4149,N/A,1.4189,1.4234,1.4141
05/20/2021,1.4175,N/A,1.4189,1.4195,1.4169
05/19/2021,1.4113,N/A,1.4113,1.4125,1.4102
05/18/2021,1.4187,N/A,1.4187,1.4201,1.418
05/17/2021,1.4176,N/A,1.4134,1.4178,1.4129
05/16/2021,1.4088,N/A,1.4096,1.4104,1.4078
05/14/2021,1.4098,N/A,1.405,1.411,1.4037
05/13/2021,1.4045,N/A,1.405,1.4057,1.4037
05/12/2021,1.4061,N/A,1.4052,1.4079,1.405
05/11/2021,1.4109,N/A,1.4141,1.4149,1.4107
05/10/2021,1.4121,N/A,1.412,1.4135,1.4114
05/09/2021,1.4019,N/A,1.3972,1.4044,1.3997
05/07/2021,1.3989,N/A,1.3885,1.4006,1.3887
05/06/2021,1.3911,N/A,1.3885,1.3912,1.3887
05/05/2021,1.3895,N/A,1.3903,1.3914,1.3885
05/04/2021,1.391,N/A,1.3885,1.3915,1.3839
05/03/2021,1.3881,N/A,1.3909,1.3915,1.3876
05/02/2021,1.3826,N/A,1.3814,1.3836,1.3809
04/30/2021,1.3814,N/A,1.394,1.3959,1.3802
04/29/2021,1.3947,N/A,1.394,1.3959,1.3937
04/28/2021,1.3941,N/A,1.3932,1.3977,1.3934
04/27/2021,1.3875,N/A,1.3912,1.3916,1.3874
04/26/2021,1.3881,N/A,1.3896,1.3903,1.3875
04/25/2021,1.3901,N/A,1.3875,1.3907,1.3864
04/23/2021,1.388,N/A,1.3836,1.3897,1.3835
04/22/2021,1.3857,N/A,1.3836,1.3863,1.3835
04/21/2021,1.3941,N/A,1.3929,1.3949,1.3925
04/20/2021,1.3926,N/A,1.3936,1.3949,1.3926
04/19/2021,1.4003,N/A,1.3983,1.4009,1.3976
04/18/2021,1.3831,N/A,1.383,1.3843,1.381
04/16/2021,1.3838,N/A,1.3786,1.3841,1.3717
04/15/2021,1.3758,N/A,1.3786,1.3788,1.3753
04/14/2021,1.3771,N/A,1.3778,1.3795,1.3767
04/13/2021,1.3767,N/A,1.3748,1.3773,1.3748
04/12/2021,1.3735,N/A,1.374,1.3756,1.373
04/11/2021,1.3687,N/A,1.3708,1.3716,1.3682
04/09/2021,1.3712,N/A,1.3733,1.3751,1.3671
04/08/2021,1.3737,N/A,1.3733,1.3751,1.3722
04/07/2021,1.3758,N/A,1.3734,1.3761,1.3733
04/06/2021,1.3824,N/A,1.3823,1.384,1.3813
04/05/2021,1.3892,N/A,1.3897,1.3916,1.3889
04/04/2021,1.3835,N/A,1.3829,1.3843,1.3818
04/02/2021,1.3831,N/A,1.383,1.3853,1.3814
04/01/2021,1.3845,N/A,1.383,1.3849,1.383
03/31/2021,1.3782,N/A,1.3779,1.3812,1.3717
03/30/2021,1.3727,N/A,1.3739,1.3751,1.3719
03/29/2021,1.3781,N/A,1.3759,1.3781,1.376
03/28/2021,1.3778,N/A,1.3785,1.3803,1.3765
03/26/2021,1.3794,N/A,1.3732,1.3812,1.3728
03/25/2021,1.3763,N/A,1.3732,1.3764,1.3728
03/24/2021,1.3697,N/A,1.3683,1.3708,1.3679
03/23/2021,1.3733,N/A,1.375,1.376,1.3723
03/22/2021,1.3846,N/A,1.3863,1.3867,1.3835
03/21/2021,1.3841,N/A,1.3868,1.385,1.3818
03/19/2021,1.3869,N/A,1.392,1.3959,1.3831
03/18/2021,1.3912,N/A,1.392,1.3935,1.3893
03/17/2021,1.3946,N/A,1.3963,1.3978,1.3944
03/16/2021,1.3887,N/A,1.3887,1.3905,1.3879
03/15/2021,1.387,N/A,1.3893,1.3905,1.3865
03/14/2021,1.3925,N/A,1.3922,1.395,1.3918
03/12/2021,1.3921,N/A,1.399,1.4005,1.3864
03/11/2021,1.3979,N/A,1.399,1.4005,1.3974
03/10/2021,1.3933,N/A,1.393,1.3941,1.392
03/09/2021,1.3866,N/A,1.3893,1.3901,1.3862
03/08/2021,1.3843,N/A,1.3824,1.385,1.3802
03/07/2021,1.3819,N/A,1.3841,1.3866,1.3809
03/05/2021,1.3832,N/A,1.3894,1.3906,1.3781
03/04/2021,1.3889,N/A,1.3894,1.3906,1.3867
03/03/2021,1.3946,N/A,1.3953,1.3959,1.3922
03/02/2021,1.3958,N/A,1.3953,1.3966,1.3946
03/01/2021,1.3874,N/A,1.3922,1.3932,1.3873
02/28/2021,1.3969,N/A,1.3932,1.3999,1.3931
02/26/2021,1.3921,N/A,1.4013,1.4027,1.3888
02/25/2021,1.3953,N/A,1.4013,1.4027,1.395
02/24/2021,1.4158,N/A,1.4139,1.416,1.4127
