date,cryptotype,close_percentage,open_percentage
2021-01-24,Doge,-97.50073459423594,-97.5600556227496
2021-01-23,Doge,-97.54189707700182,-97.56512232759954
2021-01-22,Doge,-97.55012941492559,-97.67687348797686
2021-01-21,Doge,-97.65999033200968,-97.52289908809854
2021-01-20,Doge,-97.49448935412947,-97.46716428612193
2021-01-19,Doge,-97.44168796673202,-97.41227389126085
2021-01-18,Doge,-97.38320896815488,-97.46631987900642
2021-01-17,Doge,-97.45559791583545,-97.41565178187975
2021-01-16,Doge,-97.40166100620206,-97.37117661529948
2021-01-15,Doge,-97.34800804322325,-97.37061376460807
2021-01-14,Doge,-97.33835623640897,-97.64112447328954
2021-01-13,Doge,-97.62109915809802,-97.78890594262147
2021-01-12,Doge,-97.78007094921719,-97.55498891789965
2021-01-11,Doge,-97.5535359816334,-97.47617199443899
2021-01-10,Doge,-97.4510558268917,-97.12656280587275
2021-01-09,Doge,-97.09251739081428,-97.15048959662916
2021-01-08,Doge,-97.11891808451301,-97.32388640879172
2021-01-07,Doge,-97.30769740042106,-97.11023646562647
2021-01-06,Doge,-97.0902463463424,-97.00411538510416
2021-01-05,Doge,-97.07094273271386,-97.44633409171712
2021-01-04,Doge,-97.39598339502238,-96.99257419328372
2021-01-03,Doge,-96.93382954634968,-96.9571067350205
2021-01-02,Doge,-96.92730009520628,-97.84295179928861
2021-01-01,Doge,-97.95749491057471,-98.61789024137335
2020-12-31,Doge,-98.60786031403751,-98.7003664807986
2020-12-30,Doge,-98.68990120072354,-98.73358214306096
2020-12-29,Doge,-98.72226332006534,-98.75019003973135
2020-12-28,Doge,-98.74043154364912,-98.6964256084099
2020-12-27,Doge,-98.70040471531036,-98.7068407056123
2020-12-26,Doge,-98.6958626263666,-98.74005636787466
2020-12-25,Doge,-98.72936026794434,-98.73555251371612
2020-12-24,Doge,-98.72708922347248,-98.90472729030108
2020-12-23,Doge,-98.90678429539747,-98.72457456582231
2020-12-22,Doge,-98.70409509648155,-98.64322428993667
2020-12-21,Doge,-98.6399386189159,-98.63112024742483
2020-12-20,Doge,-98.61722830638838,-98.90726070826524
